actype,version,isa_offset,phase,fl,tas,rocd_lo,rocd_nom,rocd_hi,fuel_lo,fuel_nom,fuel_hi
A321,thaiapm-202607,15,descent,30,186.0,,800.0,,,,
A321,thaiapm-202607,15,climb,40,222.0,1930.0,1600.0,1312.0,,,
A321,thaiapm-202607,15,descent,40,200.0,,912.0,,,,
A321,thaiapm-202607,15,climb,60,270.0,2442.0,2112.0,1744.0,,,
A321,thaiapm-202607,15,descent,60,228.0,,1056.0,,,,
A321,thaiapm-202607,15,climb,80,280.0,2520.0,2284.0,1983.0,,,
A321,thaiapm-202607,15,descent,80,255.0,,1169.0,,,,
A321,thaiapm-202607,15,climb,100,303.0,2214.0,1788.0,1520.0,,,
A321,thaiapm-202607,15,descent,100,280.0,,1208.0,,,,
A321,thaiapm-202607,15,climb,120,339.0,2062.0,1631.0,1375.0,,,
A321,thaiapm-202607,15,descent,120,303.0,,1311.0,,,,
A321,thaiapm-202607,15,climb,140,362.0,2081.0,1856.0,1631.0,,,
A321,thaiapm-202607,15,descent,140,327.0,,1544.0,,,,
A321,thaiapm-202607,15,climb,160,373.0,1930.0,1712.0,1503.0,,,
A321,thaiapm-202607,15,descent,160,349.0,,1678.0,,,,
A321,thaiapm-202607,15,climb,180,385.0,1752.0,1553.0,1359.0,,,
A321,thaiapm-202607,15,descent,180,363.0,,1806.0,,,,
A321,thaiapm-202607,15,climb,200,398.0,1600.0,1409.0,1216.0,,,
A321,thaiapm-202607,15,descent,200,375.0,,1919.0,,,,
A321,thaiapm-202607,15,climb,220,409.0,1472.0,1281.0,1095.0,,,
A321,thaiapm-202607,15,descent,220,388.0,,1975.0,,,,
A321,thaiapm-202607,15,climb,240,421.0,1344.0,1153.0,975.0,,,
A321,thaiapm-202607,15,descent,240,401.0,,2017.0,,,,
A321,thaiapm-202607,15,climb,260,433.0,1231.0,1041.0,870.0,,,
A321,thaiapm-202607,15,descent,260,414.0,,2034.0,,,,
A321,thaiapm-202607,15,climb,280,444.0,1183.0,994.0,831.0,,,
A321,thaiapm-202607,15,descent,280,428.0,,2016.0,,,,
A321,thaiapm-202607,15,climb,300,453.0,1217.0,1009.0,839.0,,,
A321,thaiapm-202607,15,descent,300,440.0,,1944.0,,,,
A321,thaiapm-202607,15,cruise,300,453.0,,,,,,
A321,thaiapm-202607,15,climb,320,449.0,1200.0,994.0,808.0,,,
A321,thaiapm-202607,15,descent,320,444.0,,1584.0,,,,
A321,thaiapm-202607,15,cruise,320,449.0,,,,,,
A321,thaiapm-202607,15,climb,340,445.0,1103.0,928.0,745.0,,,
A321,thaiapm-202607,15,descent,340,440.0,,1153.0,,,,
A321,thaiapm-202607,15,cruise,340,445.0,,,,,,
A321,thaiapm-202607,15,climb,360,441.0,1033.0,862.0,680.0,,,
A321,thaiapm-202607,15,descent,360,436.0,,1009.0,,,,
A321,thaiapm-202607,15,cruise,360,441.0,,,,,,
A332,thaiapm-202607,15,climb,0,162.0,2672.0,2338.0,2081.0,,,
A332,thaiapm-202607,15,descent,0,110.0,,431.0,,,,
A332,thaiapm-202607,15,climb,5,163.0,2672.0,2338.0,2081.0,,,
A332,thaiapm-202607,15,descent,5,125.0,,584.0,,,,
A332,thaiapm-202607,15,climb,10,164.0,2672.0,2338.0,2081.0,,,
A332,thaiapm-202607,15,descent,10,140.0,,738.0,,,,
A332,thaiapm-202607,15,climb,15,166.0,2393.0,2073.0,1825.0,,,
A332,thaiapm-202607,15,descent,15,152.0,,749.0,,,,
A332,thaiapm-202607,15,climb,20,168.0,2114.0,1809.0,1569.0,,,
A332,thaiapm-202607,15,descent,20,164.0,,761.0,,,,
